WARD	Alderperson	Precinct
1	DANIEL LA SPATA	C01007
2	BRIAN HOPKINS	C02022
3	PATRICIA 'PAT' DOWELL	C03009
4	SOPHIA KING	C04022
5	LESLIE A. HAIRSTON	C05031
6	RODERICK T. SAWYER	C06032
7	GREGORY I. MITCHELL	C07033
8	MICHELLE A. HARRIS	C08050
9	ANTHONY A. BEALE	C09035
10	SUSAN SADLOWSKI GARZA	C10028
11	PATRICK DALEY THOMPSON	C11021
12	GEORGE CARDENAS	C12021
13	MARTY QUINN	C13021
14	EDWARD M. BURKE	C14013
15	RAYMOND A. LOPEZ	C15009
16	STEPHANIE D. COLEMAN	C16009
17	DAVID H. MOORE	C17036
18	DERRICK G. CURTIS	C18021
19	MATTHEW J. O'SHEA	C19051
20	JEANETTE B TAYLOR	C20005
21	HOWARD B. BROOKINS, JR.	C21001
22	MICHAEL D. RODRIGUEZ	C22007
23	SILVANA TABARES	C23037
24	MICHAEL  SCOTT, JR.	C24040
25	BYRON SIGCHO-LOPEZ	C25022
26	ROBERTO MALDONADO	C26042
27	WALTER BURNETT, JR.	C27027
28	JASON C. ERVIN	C28036
29	CHRIS TALIAFERRO	C29029
30	ARIEL E. REBOYRAS	C30010
31	FELIX CARDONA JR.	C31019
32	SCOTT WAGUESPACK	C32032
33	R. RODRIGUEZ SANCHEZ	C33007
34	CARRIE M. AUSTIN	C34051
35	CARLOS  RAMIREZ-ROSA	C35024
36	GILBERT VILLEGAS	C36007
37	EMMA M. MITTS	C37027
38	NICHOLAS SPOSATO	C38003
39	SAMANTHA 'SAM' NUGENT	C39042
40	ANDRÉ VASQUEZ	C40027
41	ANTHONY V. NAPOLITANO	C41001
42	BRENDAN REILLY	C42039
43	MICHELE SMITH	C43045
44	TOM TUNNEY	C44024
45	JAMES 'JIM' GARDINER	C45044
46	JAMES CAPPLEMAN	C46004
47	MATT MARTIN	C47022
48	HARRY OSTERMAN	C48030
49	MARIA HADDEN	C49018
50	DEBRA L. SILVERSTEIN	C50003
